图鉴编号	PokeAPI编号	日文名	中文名	英文名	是否默认形态	第一属性	第二属性	第一特性	第二特性	隐藏特性	体重(kg)	HP	攻击	防御	特攻	特防	速度	种族值总和	日文图鉴说明	英文图鉴说明	中文图鉴说明
563	563	デスカーン	迭失棺	cofagrigus	TRUE	ghost		mummy			76.5	58	50	145	95	105	30	483	古い　お墓の　壁に　王様の 富の　象徴　として 描かれて　いることが　多い。	There are many depictions of Cofagrigus decorating ancient tombs. They’re symbols of the wealth that kings of bygone eras had.	迭失棺象征着国王的财富， 因此许多古墓里 都有它的壁画。
564	564	プロトーガ	原盖海龟	tirtouga	TRUE	water	rock	solid-rock	sturdy	swift-swim	16.5	54	78	103	53	45	22	355	多くの　かめポケモンの　先祖と 考えられている　ポケモン。 化石から　復元された。	Tirtouga is considered to be the ancestor of many turtle Pokémon. It was restored to life from a fossil.	由化石复活的宝可梦。 人们认为它是很多 龟宝可梦的祖先。
565	565	アバゴーラ	肋骨海龟	carracosta	TRUE	water	rock	solid-rock	sturdy	swift-swim	81	74	108	133	83	65	32	495	水の中と　くらべて　動きは 鈍いが　獲物を　探し求め 陸上でも　活動するぞ。	This Pokémon emerges from the water in search of prey despite the fact that it moves more slowly on land.	虽然和在水中相比动作 会变得迟缓，但是为了寻找 猎物也会登上陆地活动。
566	566	アーケン	始祖小鸟	archen	TRUE	rock	flying	defeatist			9.5	55	112	45	74	45	70	401	鳥ポケモンの　祖先と　言われる。 木の上で　暮らし　木の実や 虫ポケモンを　食っていた。	"Archen is said to be the ancestor of bird Pokémon. It lived in treetops, eating berries and bug Pokémon."	被称为鸟宝可梦的祖先。 栖息在树上，以树果和 虫宝可梦为食。
567	567	アーケオス	始祖大鸟	archeops	TRUE	rock	flying	defeatist			32	75	140	65	112	65	110	567	飛ぶことも　できるが　地上で 獲物を　狩ることの　ほうが ずっと　得意だったようだ。	"Though capable of flight, Archeops was apparently better at hunting on the ground."	虽然也会飞行， 但是似乎更擅长在 地面上捕捉猎物。
568	568	ヤブクロン	破破袋	trubbish	TRUE	poison		stench	sticky-hold	aftermath	31	50	50	62	40	62	65	329	ゴミの　詰まった　ゴミ袋から 生まれた。　吐き出す　毒ガスは ガラルの　マタドガスの　好物。	This Pokémon was born from a bag stuffed with trash. Galarian Weezing relish the fumes belched by Trubbish.	诞生于塞满垃圾的垃圾袋里。 它嘴里喷出的毒气 是伽勒尔双弹瓦斯的最爱。
569	569	ダストダス	灰尘山	garbodor	TRUE	poison		stench	weak-armor	aftermath	107.3	80	95	82	60	82	75	474	右腕から　出す　毒液は 弱った　生物が　浴びれば 即死するほど　危険な　シロモノ。	The toxic liquid it launches from its right arm is so virulent that it can kill a weakened creature instantly.	从右臂喷出的毒液十分危险， 虚弱的生物只要一沾到， 立刻就会丢掉性命。
569	10207	ダストダス（キョダイマックス）	灰尘山（超极巨化）	garbodor-gmax	FALSE	poison		stench	weak-armor	aftermath	1000	80	95	82	60	82	75	474	右腕から　出す　毒液は 弱った　生物が　浴びれば 即死するほど　危険な　シロモノ。	The toxic liquid it launches from its right arm is so virulent that it can kill a weakened creature instantly.	从右臂喷出的毒液十分危险， 虚弱的生物只要一沾到， 立刻就会丢掉性命。
570	570	ゾロア	索罗亚	zorua	TRUE	dark		illusion			12.5	40	65	40	80	40	65	330	エサを　もとめて　人に　化け 町に　現れることも　あるぞ。 おもに　子どもに　化けている。	"A once-departed soul, returned to life in Hisui. Derives power from resentment, which rises as energy atop its head and takes on the forms of foes. In this way, Zorua vents lingering malice."	为了寻找食物，有时甚至会 幻化成人类出现在城镇里。 多数情况下会幻化成小孩。
570	10238	ゾロア（ヒスイのすがた）	索罗亚（洗翠的样子）	zorua-hisui	FALSE	normal	ghost	illusion			12.5	35	60	40	85	40	70	330	エサを　もとめて　人に　化け 町に　現れることも　あるぞ。 おもに　子どもに　化けている。	"A once-departed soul, returned to life in Hisui. Derives power from resentment, which rises as energy atop its head and takes on the forms of foes. In this way, Zorua vents lingering malice."	为了寻找食物，有时甚至会 幻化成人类出现在城镇里。 多数情况下会幻化成小孩。
571	571	ゾロアーク	索罗亚克	zoroark	TRUE	dark		illusion			81.1	60	105	60	120	60	105	510	孤独なトレーナーは　ゾロアークに 幻を　見せるように　命じて ひとりの　さみしさを　紛らわす。	"With its disheveled white fur, it looks like an embodiment of death. Heedless of its own safety, Zoroark attacks its nemeses with a bitter energy so intense, it lacerates Zoroark's own body."	孤独的训练家会命令 索罗亚克为自己展现幻像， 借以排遣孤身一人的寂寞。
571	10239	ゾロアーク（ヒスイのすがた）	索罗亚克（洗翠的样子）	zoroark-hisui	FALSE	normal	ghost	illusion			73	55	100	60	125	60	110	510	孤独なトレーナーは　ゾロアークに 幻を　見せるように　命じて ひとりの　さみしさを　紛らわす。	"With its disheveled white fur, it looks like an embodiment of death. Heedless of its own safety, Zoroark attacks its nemeses with a bitter energy so intense, it lacerates Zoroark's own body."	孤独的训练家会命令 索罗亚克为自己展现幻像， 借以排遣孤身一人的寂寞。
572	572	チラーミィ	泡沫栗鼠	minccino	TRUE	normal		cute-charm	technician	skill-link	5.8	55	50	40	40	40	75	300	しっぽで　なであって　挨拶。 しっぽの　毛が　大きな　ほうが 少し　威張っているぞ。	"They pet each other with their tails as a form of greeting. Of the two, the one whose tail is fluffier is a bit more boastful."	用尾巴互相抚摸来打招呼。 尾巴的毛比较蓬松的那一方 会表现得稍微威风些。
573	573	チラチーノ	奇诺栗鼠	cinccino	TRUE	normal		cute-charm	technician	skill-link	7.5	75	95	60	65	60	115	470	特別な　油の　染みた　毛は 攻撃を　受け流す。　油は 高値で　取り引き　されている。	A special oil that seeps through their fur helps them avoid attacks. The oil fetches a high price at market.	覆盖着特别油脂的毛发 可以挡住攻击。这种油 以高价在市场上流通。
574	574	ゴチム	哥德宝宝	gothita	TRUE	psychic		frisk	competitive	shadow-tag	5.8	45	30	50	55	65	45	290	誰もいないのに　ボソッと　鳴く。 ゴチムにしか　見えていない なにかと　話している　らしい。	"Even when nobody seems to be around, Gothita can still be heard making a muted cry. Many believe it’s speaking to something only it can see."	哥德宝宝会在看似无人的地方 轻声地叫。它好像是在与某种 只有它才看得见的东西说话。
575	575	ゴチミル	哥德小童	gothorita	TRUE	psychic		frisk	competitive	shadow-tag	18	60	45	70	75	85	55	390	星の　輝く　晩に　もっとも サイコパワーが　高まるらしい。 宇宙との　関係は　不明。	"On nights when the stars shine, this Pokémon’s psychic power is at its strongest. It’s unknown just what link Gothorita has to the greater universe."	哥德小童的精神力量似乎会 在星光闪耀的夜晚达到最高点。 它与宇宙的关系至今不明。
576	576	ゴチルゼル	哥德小姐	gothitelle	TRUE	psychic		frisk	competitive	shadow-tag	44	70	55	95	95	110	65	490	ゴチルゼルに　自分の　最期を 見せられた　悪人は　その日を 最後に　行方を　絶った。	A criminal who was shown his fate by a Gothitelle went missing that same day and was never seen again.	从哥德小姐那里 看到了自己下场的恶人 在那之后便销声匿迹了。
577	577	ユニラン	单卵细胞球	solosis	TRUE	psychic		overcoat	magic-guard	regenerator	1	45	30	40	105	50	20	290	特殊な　液体に　体を 包んでいるので　宇宙でも 生きられるとも　いわれている。	Many say that the special liquid covering this Pokémon’s body would allow it to survive in the vacuum of space.	身体被特殊的液体包裹着， 许多人因此认为它 即使在宇宙中也能存活。
578	578	ダブラン	双卵细胞球	duosion	TRUE	psychic		overcoat	magic-guard	regenerator	8	65	40	50	125	60	30	370	分裂した　２つの　脳みその 考えは　ほぼ　一致せず まるで　行動が　読めない。	"Its brain has split into two, and the two halves rarely think alike. Its actions are utterly unpredictable."	由于它一分为二的大脑 思考的内容几乎完全不同， 导致它的行动非常难以预测。
579	579	ランクルス	人造细胞卵	reuniclus	TRUE	psychic		overcoat	magic-guard	regenerator	20.1	110	65	75	125	85	30	490	特殊な　液体を　飲むと 知恵を　授かると　いわれるが ランクルス以外には　猛毒。	"It’s said that drinking the liquid surrounding Reuniclus grants wisdom. Problem is, the liquid is highly toxic to anything besides Reuniclus itself."	虽然有人说只要喝掉它特殊的液体 就能得到智慧，但对人造细胞卵 以外来说，那其实是剧毒。
580	580	コアルヒー	鸭宝宝	ducklett	TRUE	water	flying	keen-eye	big-pecks	hydration	5.5	62	44	50	44	50	55	305	飛ぶよりも　泳ぐのが　得意で 水中に　潜っては　大好きな 水ゴケを　うれしそうに　食べる。	"They are better at swimming than flying, and they happily eat their favorite food, peat moss, as they dive underwater."	
581	581	スワンナ	舞天鹅	swanna	TRUE	water	flying	keen-eye	big-pecks	hydration	24.2	75	87	63	87	63	98	473	夜明けと　ともに　スワンナたちは 踊りはじめる。真ん中で　踊る スワンナが　群れの　リーダー。	Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.	
582	582	バニプッチ	迷你冰	vanillite	TRUE	ice		ice-body	snow-cloak	weak-armor	5.7	36	50	50	65	60	44	305	氷柱から　生まれたと　いわれる。 マイナス５０度の　冷気を　吐いて あたりを　凍らせ　棲みやすくする。	"Supposedly, this Pokémon was born from an icicle. It spews out freezing air at ?58 degrees Fahrenheit to make itself more comfortable."	据说它是从冰柱中诞生的。 为了能让自己生活得更舒适， 会吐出零下５０度的冷气冻住四周。
583	583	バニリッチ	多多冰	vanillish	TRUE	ice		ice-body	snow-cloak	weak-armor	41	51	65	65	80	75	59	395	マイナス１００度の　冷気で 敵を　凍らせるが　命までは 奪わない　優しい　気質。	"It blasts enemies with cold air reaching ?148 degrees Fahrenheit, freezing them solid. But it spares their lives afterward—it’s a kind Pokémon."	性格和善，虽然会用 零下１００度的冷气冻住敌人， 但并不会伤及它们的性命。
584	584	バイバニラ	双倍多多冰	vanilluxe	TRUE	ice		ice-body	snow-warning	weak-armor	57.5	71	95	85	110	95	79	535	体温は　マイナス６度　前後。 ２匹の　バニリッチが　くっつき 生まれたと　いわれている。	People believe this Pokémon formed when two Vanillish stuck together. Its body temperature is roughly 21 degrees Fahrenheit.	体温在零下６度左右。 据说是由２只多多冰 贴在一起而诞生的。
585	585	シキジカ	四季鹿	deerling	TRUE	normal	grass	chlorophyll	sap-sipper	serene-grace	19.5	60	60	50	40	50	75	335	季節の　変わり目に　なると 体毛と　においが　変化する。 季節を　告げる　ポケモン。	The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.	
586	586	メブキジカ	萌芽鹿	sawsbuck	TRUE	normal	grass	chlorophyll	sap-sipper	serene-grace	92.5	80	100	70	60	70	95	475	季節の　移り変わりと　ともに 住処を　変えるので　メブキジカが 春を運ぶと　いう　人もいる。	"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring."	
587	587	エモンガ	电飞鼠	emolga	TRUE	electric	flying	static		motor-drive	5	55	75	60	75	60	103	428	甘い　木の実が　大好物。 頬袋に　エサを　溜めすぎ うまく　飛べないときも　ある。	This Pokémon absolutely loves sweet berries. Sometimes it stuffs its cheeks full of so much food that it can’t fly properly.	最喜欢甜甜的树果。有时也会 因为在脸颊的袋子里囤了太多 食物而无法好好飞行。
588	588	カブルモ	盖盖虫	karrablast	TRUE	bug		swarm	shed-skin	no-guard	5.9	50	75	45	40	45	60	315	口から　吐き出す　液体で チョボマキの　殻を　溶かす。 中身　だけを　いただくのだ。	It spits a liquid from its mouth to melt through Shelmet’s shell. Karrablast doesn’t eat the shell— it eats only the contents.	用嘴里吐出的液体 来溶化小嘴蜗的壳， 只会去吃里面的身体。
589	589	シュバルゴ	骑士蜗牛	escavalier	TRUE	bug	steel	swarm	shell-armor	overcoat	33	70	135	105	60	105	20	495	槍を　構え　敵へ　突撃。 ネギガナイトとの　決闘を 描いた　絵画が　有名。	"It charges its enemies, lances at the ready. An image of one of its duels is captured in a famous painting of Escavalier clashing with Sirfetch’d."	会举起长矛突击敌人。 有一幅名画描绘着 它和葱游兵决斗的场景。
590	590	タマゲタケ	哎呀球菇	foongus	TRUE	grass	poison	effect-spore		regenerator	1	69	55	45	55	55	15	294	両手から　吹き出す　胞子は 猛毒だが　よく　乾かせば お腹の　薬に　なるという。	"The spores released from this Pokémon’s hands are highly poisonous, but when thoroughly dried, the spores can be used as stomach medicine."	从双手喷出的孢子虽然 含有剧毒，但据说彻底干燥后 可以用作治疗肠胃的药。
591	591	モロバレル	败露球菇	amoonguss	TRUE	grass	poison	effect-spore		regenerator	10.5	114	85	70	85	80	30	464	ふだんは　あんまり　動かない。 落ちている　モンスターボールの そばで　ただじっと　している。	Amoonguss generally doesn’t move much. It tends to stand still near Poké Balls that have been dropped on the ground.	平常一般不太动。 只是一动不动地待在 掉落于地面的精灵球旁边。
592	592	プルリル（オス）	轻飘飘（雄性）	frillish-male	TRUE	water	ghost	water-absorb	cursed-body	damp	33	55	40	50	65	85	40	335	海底に　沈んだ　古代都市の 住民が　ポケモンに　なったと いう　言い伝えが　残されている。	Legend has it that the residents of a sunken ancient city changed into these Pokémon.	据流传至今的传说里所述， 它是由沉没到海底的古代都市 的居民变成的宝可梦。
593	593	ブルンゲル（オス）	胖嘟嘟（雄性）	jellicent-male	TRUE	water	ghost	water-absorb	cursed-body	damp	135	100	60	70	85	105	60	480	満月に　なると　群れを　引き連れ 海面に　姿を　見せる。 獲物が　来るのを　待っているのだ。	"Whenever a full moon hangs in the night sky, schools of Jellicent gather near the surface of the sea, waiting for their prey to appear."	每到满月时，胖嘟嘟会 成群结队地来到海面上。 这么做是为了等待猎物上门。
594	594	ママンボウ	保姆曼波	alomomola	TRUE	water		healer	hydration	regenerator	31.6	165	75	80	40	45	65	470	弱った　ポケモンを　助けるのは それを　狙う　ポケモンに 自分も　襲われるから　らしい。	The reason it helps Pokémon in a weakened condition is that any Pokémon coming after them may also attack Alomomola.	之所以会救助体弱的宝可梦， 好像是因为盯上它们的 宝可梦也会攻击它自己。
595	595	バチュル	电电虫	joltik	TRUE	bug	electric	compound-eyes	unnerve	swarm	0.6	50	47	50	57	50	65	319	ほかの　ポケモンに　とりついて 静電気を　吸い取る。　ワンパチの お尻に　よく　くっついている。	Joltik latch on to other Pokémon and suck out static electricity. They’re often found sticking to Yamper’s hindquarters.	会附在其他宝可梦身上 吸取静电。经常会把自己 贴在来电汪的屁股上。
596	596	デンチュラ	电蜘蛛	galvantula	TRUE	bug	electric	compound-eyes	unnerve	swarm	14.3	70	77	60	97	60	108	472	飛ぶのが　ヘタな　ヒナを　狙い 鳥ポケモンの　巣の　近くに 電気の　糸で　罠を　張るぞ。	"It lays traps of electrified threads near the nests of bird Pokémon, aiming to snare chicks that are not yet good at flying."	为了捕捉不太会飞的幼鸟， 会在鸟宝可梦的巢穴附近 用带电的丝设下陷阱。
597	597	テッシード	种子铁球	ferroseed	TRUE	grass	steel	iron-barbs			18.8	44	50	91	24	86	10	305	苔むした　洞窟を　好む。 苔が　含む　酵素が　棘を 大きく　丈夫に　育むのだ。	Mossy caves are their preferred dwellings. Enzymes contained in mosses help Ferroseed’s spikes grow big and strong.	偏爱长着青苔的洞窟。 青苔中所含的酶能使它的 尖刺成长得又大又结实。
598	598	ナットレイ	坚果哑铃	ferrothorn	TRUE	grass	steel	iron-barbs		anticipation	110	74	94	131	54	116	20	489	鋼より　硬い　棘を　もつ。 触手の　棘を　突き刺し 岩壁を　這って　移動する。	Its spikes are harder than steel. This Pokémon crawls across rock walls by stabbing the spikes on its feelers into the stone.	拥有比钢铁还坚硬的尖刺。 会利用触手上的尖刺 攀附在岩壁上移动。
599	599	ギアル	齿轮儿	klink	TRUE	steel		plus	minus	clear-body	21	40	55	70	45	60	30	300	大昔に　ギアルを　見た 人間が　歯車の　構造を 思いついたと　いわれている。	It’s suspected that Klink were the inspiration behind ancient people’s invention of the first gears.	据说在很久以前， 是看到了齿轮儿的人 发明了齿轮的构造。
600	600	ギギアル	齿轮组	klang	TRUE	steel		plus	minus	clear-body	51	60	80	95	70	85	50	440	工業技術の　シンボルとして 多くの　ガラルの　会社で 企業ロゴに　採用　される。	Many companies in the Galar region choose Klang as their logo. This Pokémon is considered the symbol of industrial technology.	被认为是工业技术的象征。 有许多伽勒尔当地的公司 选择它作为企业的标志。
601	601	ギギギアル	齿轮怪	klinklang	TRUE	steel		plus	minus	clear-body	81	60	100	115	70	85	90	520	３つの　ギアを　高速回転。 新たに　増えた　棘の　ついた ギアは　生き物では　ないのだ。	The three gears that compose this Pokémon spin at high speed. Its new spiked gear isn’t a living creature.	让３个齿轮高速旋转。 新增出来的那个带着 尖刺的齿轮并不是生物。
602	602	シビシラス	麻麻小鱼	tynamo	TRUE	electric		levitate			0.3	35	55	40	45	40	60	275	弱い　電気しか　だせないので たくさんの　シビシラスで　集まり 強力な　電気を　放つ。	"One alone can emit only a trickle of electricity, so a group of them gathers to unleash a powerful electric shock."	
603	603	シビビール	麻麻鳗	eelektrik	TRUE	electric		levitate			22	65	85	70	75	70	40	405	食欲　旺盛な　ポケモン。 獲物を　見つけると　襲いかかり 電気で　しびれさせてから　食べる。	"These Pokémon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity."	
604	604	シビルドン	麻麻鳗鱼王	eelektross	TRUE	electric		levitate			80.5	85	115	80	105	80	50	515	腕の　力で　海から　はい出し 水辺の　獲物に　襲いかかる。 一瞬で　海へ　引きずりこむ。	They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.	
604	10290	シビルドン（メガシンカ）	麻麻鳗鱼王（超级进化）	eelektross-mega	FALSE	electric					180	85	145	80	135	90	80	615	腕の　力で　海から　はい出し 水辺の　獲物に　襲いかかる。 一瞬で　海へ　引きずりこむ。	They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.	
605	605	リグレー	小灰怪	elgyem	TRUE	psychic		telepathy	synchronize	analytic	9	55	55	55	85	55	30	335	５０年　ほど　前に　見つかった ポケモン。　大きく　発達した 脳で　サイコパワーを　操るぞ。	This Pokémon was discovered about 50 years ago. Its highly developed brain enables it to exert its psychic powers.	在大约５０年前被发现的宝可梦。 会用又大又发达的大脑 操纵精神力量。
606	606	オーベム	大宇怪	beheeyem	TRUE	psychic		telepathy	synchronize	analytic	34.5	75	75	75	125	95	40	485	相手の　記憶を　操作できる。 麦畑の　上を　さまよう 姿が　ときおり　目撃される。	"Sometimes found drifting above wheat fields, this Pokémon can control the memories of its opponents."	能控制对方的记忆。 经常有人看到它 在麦田的上方徘徊。
607	607	ヒトモシ	烛光灵	litwick	TRUE	ghost	fire	flash-fire	flame-body	infiltrator	3.1	50	30	55	65	55	20	275	吸い取る　命が　若ければ 若いほど　頭の　炎は 大きく　妖しく　燃え上がる。	"The younger the life this Pokémon absorbs, the brighter and eerier the flame on its head burns."	吸取到的灵魂越年轻， 头上的烛光就会 燃烧得越旺越诡异。
608	608	ランプラー	灯火幽灵	lampent	TRUE	ghost	fire	flash-fire	flame-body	infiltrator	13	60	40	60	95	60	55	370	ランプの　ふりをして　町中に 潜む。　死期が　近い　人を 見つけると　そっと　後を　つける。	"It lurks in cities, pretending to be a lamp. Once it finds someone whose death is near, it will trail quietly after them."	伪装成灯的样子藏身在城镇里。 一旦发现了临近死期的人， 便会悄悄地跟在后面。
609	609	シャンデラ	水晶灯火灵	chandelure	TRUE	ghost	fire	flash-fire	flame-body	infiltrator	34.3	60	55	90	145	90	80	520	シャンデラを　灯りの　かわりに していた　屋敷では　葬式が 絶えることが　なかった　という。	"In homes illuminated by Chandelure instead of lights, funerals were a constant occurrence— or so it’s said."	据说在用水晶灯火灵 来充当照明设备的房子里， 丧事会接连不断。
609	10291	シャンデラ（メガシンカ）	水晶灯火灵（超级进化）	chandelure-mega	FALSE	ghost	fire	infiltrator			69.6	60	75	110	175	110	90	620	シャンデラを　灯りの　かわりに していた　屋敷では　葬式が 絶えることが　なかった　という。	"In homes illuminated by Chandelure instead of lights, funerals were a constant occurrence— or so it’s said."	据说在用水晶灯火灵 来充当照明设备的房子里， 丧事会接连不断。
610	610	キバゴ	牙牙	axew	TRUE	dragon		rivalry	mold-breaker	unnerve	18	46	87	60	30	40	57	320	大きな　キバを　打ちつけ　仲間と じゃれあう。　キバは　折れても すぐ　生えてくるから　へっちゃらだ。	"They play with each other by knocking their large tusks together. Their tusks break sometimes, but they grow back so quickly that it isn’t a concern."	会和伙伴们一起互撞牙齿来玩。 折断的牙齿会马上长出来， 所以丝毫都不会去在意。
611	611	オノンド	斧牙龙	fraxure	TRUE	dragon		rivalry	mold-breaker	unnerve	36	66	117	70	40	50	67	410	鎧の　ように　硬い　皮膚。 体当たりと　同時に　キバを 突き刺す　戦法が　得意　だぞ。	"Its skin is as hard as a suit of armor. Fraxure’s favorite strategy is to tackle its opponents, stabbing them with its tusks at the same time."	皮肤像盔甲一样坚硬。 非常擅长在撞击的同时 用牙齿猛刺的战法。
612	612	オノノクス	双斧战龙	haxorus	TRUE	dragon		rivalry	mold-breaker	unnerve	105.5	76	147	90	60	70	97	540	温厚な　性質だが　怒ると 怖い。　鉄骨をも　切り裂く 自慢の　キバを　おみまい　するぞ。	"While usually kindhearted, it can be terrifying if angered. Tusks that can slice through steel beams are how Haxorus deals with its adversaries."	性格温和，但生起气来非常恐怖。 会用自己那引以为傲，可以 削铁如泥的牙齿攻击敌人。
613	613	クマシュン	喷嚏熊	cubchoo	TRUE	ice		snow-cloak	slush-rush	rattled	8.5	55	70	40	60	40	40	305	技を　出す前に　鼻を　すする。 鼻水に　含まれる　強い 冷気が　氷の　技の　もとだ。	"It sniffles before performing a move, using its frosty snot to provide an icy element to any move that needs it."	使出招式前会先倒吸鼻涕。 鼻涕里所含有的强烈冷气 是冰属性招式的能量来源。
614	614	ツンベアー	冻原熊	beartic	TRUE	ice		snow-cloak	slush-rush	swift-swim	260	95	130	80	70	80	50	505	冷たい　海を　元気に　泳ぐ。 疲れたときは　吐息で　海水を 凍らせて　その上で　休むぞ。	"It swims energetically through frigid seas. When it gets tired, it freezes the seawater with its breath so it can rest on the ice."	在冰冷的大海里精力十足地游泳。 感到疲劳的时候会吐出气息 冻结海水，在冰面上休息。
615	615	フリージオ	几何雪花	cryogonal	TRUE	ice		levitate			148	80	50	50	95	135	105	515	暑くなると　水蒸気に　変わる。 夏場に　姿を　見ることは ほとんどない。	"When the weather gets hot, these Pokémon turn into water vapor. Cryogonal are almost never seen during summer."	天气一热就会化为水蒸气。 到了夏天几乎到处都 看不到它的踪影。
616	616	チョボマキ	小嘴蜗	shelmet	TRUE	bug		hydration	shell-armor	overcoat	7.7	50	40	85	40	65	25	305	電気　エネルギーに　反応する 不思議な　体質。　カブルモと ともに　いると　なぜか　進化する。	"It has a strange physiology that responds to electricity. When together with Karrablast, Shelmet evolves for some reason."	有着会对电能产生反应 的奇异体质。不知为何， 和盖盖虫待在一起就会进化。
617	617	アギルダー	敏捷虫	accelgor	TRUE	bug		hydration	sticky-hold	unburden	25.3	80	70	40	100	60	145	495	殻を　脱ぎ捨て　身軽に　なった。 帯状の　粘膜を　体に 巻きつけ　乾燥を　防ぐ。	"Discarding its shell made it nimble. To keep itself from dehydrating, it wraps its body in bands of membrane."	脱壳后变得更轻巧了。 为了防止干燥，会将 带状的粘膜裹在身上。
618	618	マッギョ	泥巴鱼	stunfisk	TRUE	ground	electric	static	limber	sand-veil	11	109	66	84	81	99	32	471	体の　黄色い　模様から 強い　電気を　放つとき なぜか　すこし　微笑んでいる。	"For some reason, this Pokémon smiles slightly when it emits a strong electric current from the yellow markings on its body."	当从身上的黄色斑纹 里释放出强大电流时， 它会莫名地露出微笑。
618	10180	マッギョ（ガラルのすがた）	泥巴鱼（伽勒尔的样子）	stunfisk-galar	FALSE	ground	steel	mimicry			20.5	109	81	99	66	84	32	471	干潟が　すみか。　泥に　棲む 細菌に　よって　電気を　つくる 器官が　発達した。	"Thanks to bacteria that lived in the mud flats with it, this Pokémon developed the organs it uses to generate electricity."	潮间带便是它的巢穴。 制造电的器官由于 泥里的细菌而发达起来。
619	619	コジョフー	功夫鼬	mienfoo	TRUE	fighting		inner-focus	regenerator	reckless	20	45	85	50	55	50	65	350	小さくても　気性は　荒い。 油断して　近づく　相手には 華麗な　連打を　おみまいする。	"Though small, Mienfoo’s temperament is fierce. Any creature that approaches Mienfoo carelessly will be greeted with a flurry of graceful attacks."	个头虽小脾气却很暴躁。 面对疏忽大意接近自己的 对手，会施展出华丽的连击。
620	620	コジョンド	师父鼬	mienshao	TRUE	fighting		inner-focus	regenerator	reckless	35.5	65	125	60	95	60	105	510	目にも　止まらぬ　スピードで 繰りだす　蹴りは　巨大な　岩も 木っ端みじんに　砕く。	"Delivered at blinding speeds, kicks from this Pokémon can shatter massive boulders into tiny pieces."	以迅雷不及掩耳的速度 使出踢击，即使是巨大的 岩石也能击得粉碎。
621	621	クリムガン	赤面龙	druddigon	TRUE	dragon		rough-skin	sheer-force	mold-breaker	139	77	120	90	60	90	48	485	凶暴で　ずる賢い。 ほかの　ポケモンが　掘った 巣穴を　奪って　すみかにする。	"Druddigon are vicious and cunning. They take up residence in nests dug out by other Pokémon, treating the stolen nests as their own lairs."	性情凶暴而狡猾。 会把其他宝可梦挖出的巢穴 抢来当做自己的住处。
622	622	ゴビット	泥偶小人	golett	TRUE	ground	ghost	iron-fist	klutz	no-guard	92	59	74	50	35	50	35	303	粘土から　つくられた　ポケモン。 何千年も　前の　主の 命令を　今も　守っている。	"This Pokémon was created from clay. It received orders from its master many thousands of years ago, and it still follows those orders to this day."	用黏土制成的宝可梦。 即使现在也一直遵循着 数千年前主人的命令。
623	623	ゴルーグ	泥偶巨人	golurk	TRUE	ground	ghost	iron-fist	klutz	no-guard	330	89	124	80	55	80	55	483	体内に　エネルギーを　生み出す 永久機関が　あると　いうが 未だに　解明は　されていない。	"There’s a theory that inside Golurk is a perpetual motion machine that produces limitless energy, but this belief hasn’t been proven."	虽然有人认为它体内 有着生成能量的永动机， 但至今仍未得到证实。
623	10313	ゴルーグ（メガシンカ）	泥偶巨人（超级进化）	golurk-mega	FALSE	ground	ghost	unseen-fist			330	89	159	105	70	105	55	583	体内に　エネルギーを　生み出す 永久機関が　あると　いうが 未だに　解明は　されていない。	"There’s a theory that inside Golurk is a perpetual motion machine that produces limitless energy, but this belief hasn’t been proven."	虽然有人认为它体内 有着生成能量的永动机， 但至今仍未得到证实。
624	624	コマタナ	驹刀小兵	pawniard	TRUE	dark	steel	defiant	inner-focus	pressure	10.2	45	85	70	40	40	60	340	キリキザンを　ボスとした　群れを つくる。　群れを　率いる　ことを 夢見て　日々　鍛錬を　積む。	"A pack of these Pokémon forms to serve a Bisharp boss. Each Pawniard trains diligently, dreaming of one day taking the lead."	以劈斩司令为首领组成族群。 目标是有朝一日能统领同类， 所以每天都在不懈地锻炼。
625	625	キリキザン	劈斩司令	bisharp	TRUE	dark	steel	defiant	inner-focus	pressure	70	65	125	100	60	70	70	490	刃を　研ぐ　石が　ある 場所を　めぐって　オノンドと 激しい　争いを　繰りひろげる。	Violent conflicts erupt between Bisharp and Fraxure over places where sharpening stones can be found.	为了抢占能找到磨刀石 的地方，和斧牙龙展开了 激烈的斗争。
626	626	バッフロン	爆炸头水牛	bouffalant	TRUE	normal		reckless	sap-sipper	soundproof	94.6	95	110	95	40	95	55	490	２０匹程度の　群れで　暮らす。 群れを　裏切った　バッフロンは なぜか　頭の　毛が　抜ける。	These Pokémon live in herds of about 20 individuals. Bouffalant that betray the herd will lose the hair on their heads for some reason.	会以约２０只的规模群居。 不知为何，背叛了族群的 爆炸头水牛脑袋上的毛会脱落。
627	627	ワシボン	毛头小鹰	rufflet	TRUE	normal	flying	keen-eye	sheer-force	hustle	10.5	70	83	50	37	50	60	350	硬い　木の実も　粉々に　砕く 握力。　喧嘩っ早く 誰にでも　勝負を　仕掛ける。	"Its chick-like looks belie its hotheadedness. It challenges its parents at every opportunity, desperate to prove its strength."	握力强，能把坚硬的树果 弄得粉碎。性急爱吵架， 无论对谁都会挑起战斗。
